modelo,memoria_interna,preco_revenda_brl
iPhone 17 Pro Max,256GB,7200
iPhone 17 Pro Max,512GB,7800
iPhone 17 Pro Max,1TB,8400
iPhone 17 Pro Max,2TB,9000
iPhone 17 Pro,256GB,6600
iPhone 17 Pro,512GB,7100
iPhone 17 Pro,1TB,7600
iPhone 17,256GB,6000
iPhone 17,512GB,6400
iPhone 16 Pro Max,256GB,6400
iPhone 16 Pro Max,512GB,6900
iPhone 16 Pro Max,1TB,7400
iPhone 16 Pro,128GB,5800
iPhone 16 Pro,256GB,6100
iPhone 16 Pro,512GB,6500
iPhone 16 Pro,1TB,7000
iPhone 16 Plus,128GB,4800
iPhone 16 Plus,256GB,5100
iPhone 16 Plus,512GB,5400
iPhone 16,128GB,4500
iPhone 16,256GB,4800
iPhone 16,512GB,5100
iPhone 15 Pro Max,256GB,5800
iPhone 15 Pro Max,512GB,6200
iPhone 15 Pro Max,1TB,6600
iPhone 15 Pro,128GB,4900
iPhone 15 Pro,256GB,5200
iPhone 15 Pro,512GB,5600
iPhone 15 Pro,1TB,6000
iPhone 15 Plus,128GB,4300
iPhone 15 Plus,256GB,4600
iPhone 15 Plus,512GB,4900
iPhone 15,128GB,4100
iPhone 15,256GB,4400
iPhone 15,512GB,4700
iPhone 14 Pro Max,128GB,3900
iPhone 14 Pro Max,256GB,4200
iPhone 14 Pro Max,512GB,4600
iPhone 14 Pro Max,1TB,5000
iPhone 14 Pro,128GB,3800
iPhone 14 Pro,256GB,4200
iPhone 14 Pro,512GB,4500
iPhone 14 Pro,1TB,4800
iPhone 14 Plus,128GB,3200
iPhone 14 Plus,256GB,3500
iPhone 14 Plus,512GB,3800
iPhone 14,128GB,3000
iPhone 14,256GB,3300
iPhone 14,512GB,3600
iPhone 13 Pro Max,128GB,3200
iPhone 13 Pro Max,256GB,3500
iPhone 13 Pro Max,512GB,3800
iPhone 13 Pro Max,1TB,4200
iPhone 13 Pro,128GB,2900
iPhone 13 Pro,256GB,3200
iPhone 13 Pro,512GB,3500
iPhone 13 Pro,1TB,3800
iPhone 13,128GB,2600
iPhone 13,256GB,2900
iPhone 13,512GB,3200
iPhone 12 Pro Max,128GB,2600
iPhone 12 Pro Max,256GB,2900
iPhone 12 Pro Max,512GB,3200
iPhone 12 Pro,128GB,2400
iPhone 12 Pro,256GB,2700
iPhone 12 Pro,512GB,3000
iPhone 12,64GB,2100
iPhone 12,128GB,2300
iPhone 12,256GB,2500
iPhone 11 Pro Max,64GB,2100
iPhone 11 Pro Max,256GB,2400
iPhone 11 Pro Max,512GB,2700
iPhone 11 Pro,64GB,1900
iPhone 11 Pro,256GB,2200
iPhone 11 Pro,512GB,2500
iPhone 11,64GB,1600
iPhone 11,128GB,1800
iPhone 11,256GB,2000
